F61,F77,F88,F70,
14,7228,1331,10711,
16,7331,1345,10814,
7,8569,1567,12052,
1,4119,817,7602,
5,3050,573,6533,
5,3050,573,6533,
5,3050,573,6533,
0,528,97,4011,
45,4620,928,8103,
3,565,104,4048,
16,9181,1716,12664,
1,3420,671,6903,
21,3133,594,6616,
0,28,12,3511,
1,34,13,3517,
12,2583,488,6066,
0,10292,2038,13775,
59,6870,1294,10353,
36,5021,1013,8504,
28,6740,1274,10223,
0,1143,202,4626,
0,1143,202,4626,
0,1143,202,4626,
0,1143,202,4626,
12,3567,699,7050,
2,4023,795,7506,
2,4023,795,7506,
19,8028,1464,11511,
14,7876,1440,11359,
14,7876,1440,11359,
8,5433,1082,8916,
2,659,124,4142,
27,5950,1152,9433,
6,9205,1721,12688,
1,659,124,4142,
2,1390,243,4873,
0,659,124,4142,
0,659,124,4142,
1,659,124,4142,
1,659,124,4142,
2,659,124,4142,
2,659,124,4142,
9,7688,1407,11171,
9,7688,1407,11171,
2,1615,302,5098,
2,1615,302,5098,
2,1615,302,5098,
2,1615,302,5098,
117,3197,615,6680,
183,4265,854,7748,
413,10292,2038,13775,
413,10292,2038,13775,
116,3188,610,6671,
7,1752,335,5235,
7,1752,335,5235,
504,10292,2038,13775,
504,10292,2038,13775,
504,10292,2038,13775,
504,10292,2038,13775,
504,10292,2038,13775,
349,8662,1590,12145,
504,10292,2038,13775,
35,4640,931,8123,
6,1729,330,5212,
14,3058,574,6541,
1,868,153,4351,
1,868,153,4351,
10,3185,607,6668,
12,630,118,4113,
13,668,125,4151,
13,668,125,4151,
13,668,125,4151,
10,1229,223,4712,
10,1229,223,4712,
10,1229,223,4712,
1,158,35,3641,
1,158,35,3641,
1,158,35,3641,
1,158,35,3641,
0,158,35,3641,
0,158,35,3641,
0,158,35,3641,
0,158,35,3641,
0,158,35,3641,
0,158,35,3641,
19,3151,599,6634,
0,285,54,3768,
0,285,54,3768,
0,285,54,3768,
0,285,54,3768,
0,285,54,3768,
0,285,54,3768,
0,10292,2038,13775,
0,10292,2038,13775,
