F72,F54,F53,F55,F25,F26,
2815,org/apache/maven,apache,org/apache/maven/AbstractCoreMavenComponentTestCase.java,1735,true,
2815,org/apache/maven,apache,org/apache/maven/AbstractCoreMavenComponentTestCase.java,1735,true,
2815,org/apache/maven,apache,org/apache/maven/AbstractCoreMavenComponentTestCase.java,1735,true,
2815,org/apache/maven,apache,org/apache/maven/AbstractCoreMavenComponentTestCase.java,1735,true,
2815,org/apache/maven,apache,org/apache/maven/AbstractCoreMavenComponentTestCase.java,1735,true,
2815,org/apache/maven,apache,org/apache/maven/AbstractCoreMavenComponentTestCase.java,1735,true,
2658,org/apache/maven,apache,org/apache/maven/DefaultMaven.java,1706,true,
2658,org/apache/maven,apache,org/apache/maven/DefaultMaven.java,1706,true,
2658,org/apache/maven,apache,org/apache/maven/DefaultMaven.java,1706,true,
9780,org/apache/maven,apache,org/apache/maven/MavenTest.java,3431,true,
9780,org/apache/maven,apache,org/apache/maven/MavenTest.java,3431,true,
4237,org/apache/maven,apache,org/apache/maven/ProjectBuildFailureException.java,2274,true,
1801,org/apache/maven,apache,org/apache/maven/ProjectDependenciesResolverTest.java,1527,true,
1801,org/apache/maven,apache,org/apache/maven/ProjectDependenciesResolverTest.java,1527,true,
4522,org/apache/maven/artifact,apache,org/apache/maven/artifact/AbstractArtifactComponentTestCase.java,2445,true,
4522,org/apache/maven/artifact,apache,org/apache/maven/artifact/AbstractArtifactComponentTestCase.java,2445,true,
4522,org/apache/maven/artifact,apache,org/apache/maven/artifact/AbstractArtifactComponentTestCase.java,2445,true,
4522,org/apache/maven/artifact,apache,org/apache/maven/artifact/AbstractArtifactComponentTestCase.java,2445,true,
7756,org/apache/maven/artifact,apache,org/apache/maven/artifact/ArtifactStatus.java,3078,true,
5759,org/apache/maven/artifact,apache,org/apache/maven/artifact/DefaultArtifactTest.java,2894,true,
9785,org/apache/maven/artifact/deployer,apache,org/apache/maven/artifact/deployer/ArtifactDeployerTest.java,3431,true,
8218,org/apache/maven/artifact/handler,apache,org/apache/maven/artifact/handler/DefaultArtifactHandler.java,3119,true,
2658,org/apache/maven/artifact/installer,apache,org/apache/maven/artifact/installer/ArtifactInstallerTest.java,1706,true,
9785,org/apache/maven/artifact/manager,apache,org/apache/maven/artifact/manager/DefaultWagonManager.java,3431,true,
6489,org/apache/maven/artifact/manager,apache,org/apache/maven/artifact/manager/WagonConfigurationException.java,3001,true,
9066,org/apache/maven/artifact/metadata,apache,org/apache/maven/artifact/metadata/AbstractArtifactMetadata.java,3205,true,
9785,org/apache/maven/artifact/metadata,apache,org/apache/maven/artifact/metadata/ArtifactMetadataRetrievalException.java,3431,true,
7939,org/apache/maven/artifact/metadata,apache,org/apache/maven/artifact/metadata/ResolutionGroup.java,3091,true,
7809,org/apache/maven/artifact/repository,apache,org/apache/maven/artifact/repository/ArtifactRepositoryPolicy.java,3083,true,
