F61,F77,F88,F70,
9,1575,1602,2092,
7,1293,1530,1810,
7,1293,1530,1810,
21,1922,1678,2439,
27,2298,1735,2815,
27,2298,1735,2815,
325,9263,3431,9780,
53,1312,1533,1829,
34,886,1223,1403,
6,2059,1694,2576,
8,2320,1738,2837,
3,3720,2274,4237,
4,1476,1584,1993,
4,1476,1584,1993,
13,3068,1860,3585,
19,7062,3056,7579,
19,7062,3056,7579,
12,2214,1712,2731,
7,7239,3078,7756,
4,3861,2331,4378,
9,6338,3010,6855,
13,7701,3119,8218,
7,6338,3010,6855,
127,9268,3431,9785,
8,5972,3001,6489,
17,8549,3205,9066,
9,9268,3431,9785,
12,7422,3091,7939,
7,1435,1573,1952,
10,3068,1860,3585,
4,1723,1631,2240,
4,1723,1631,2240,
20,1786,1655,2303,
22,6887,3033,7404,
22,6887,3033,7404,
8,3068,1860,3585,
23,6954,3039,7471,
23,6954,3039,7471,
60,6954,3039,7471,
60,6954,3039,7471,
62,6982,3042,7499,
20,2699,1775,3216,
0,9661,3774,10178,
0,9661,3774,10178,
6,5987,3001,6504,
6,5987,3001,6504,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
22,3068,1860,3585,
22,3068,1860,3585,
22,3068,1860,3585,
45,9268,3431,9785,
25,1427,1572,1944,
173,9268,3431,9785,
4,2617,1765,3134,
2,928,1256,1445,
12,7223,3078,7740,
0,1548,1597,2065,
7,3068,1860,3585,
0,1548,1597,2065,
7,4891,2681,5408,
7,4891,2681,5408,
7,4891,2681,5408,
7,4891,2681,5408,
12,3068,1860,3585,
12,3068,1860,3585,
12,3068,1860,3585,
6,4044,2476,4561,
4,3068,1860,3585,
17,1346,1544,1863,
6,435,611,952,
2,89,203,606,
20,330,415,847,
1,371,447,888,
1,847,1204,1364,
1,847,1204,1364,
1,847,1204,1364,
1,847,1204,1364,
1,847,1204,1364,
1,847,1204,1364,
107,6140,3006,6657,
107,6140,3006,6657,
18,7704,3120,8221,
3,1461,1582,1978,
8,1036,1358,1553,
9,1058,1363,1575,
1,1058,1363,1575,
1,1023,1353,1540,
281,9263,3431,9780,
3,806,1183,1323,
66,8241,3175,8758,
66,8241,3175,8758,
66,8241,3175,8758,
3,1030,1356,1547,
4,1030,1356,1547,
2,1030,1356,1547,
2,1030,1356,1547,
2,1030,1356,1547,
3,906,1231,1423,
2,1058,1363,1575,
10,1058,1363,1575,
4,1007,1344,1524,
5,955,1285,1472,
11,999,1336,1516,
19,1058,1363,1575,
10,1058,1363,1575,
10,1058,1363,1575,
7,1058,1363,1575,
1,806,1183,1323,
1,806,1183,1323,
5,9661,3774,10178,
3,1058,1363,1575,
3,1058,1363,1575,
3,1058,1363,1575,
3,1058,1363,1575,
3,1058,1363,1575,
1,1058,1363,1575,
1,1058,1363,1575,
1,1058,1363,1575,
1,1058,1363,1575,
1,1058,1363,1575,
1,1058,1363,1575,
1,1058,1363,1575,
2,1058,1363,1575,
2,1058,1363,1575,
4,1058,1363,1575,
2,1058,1363,1575,
10,6152,3006,6669,
12,7743,3126,8260,
0,9661,3774,10178,
0,9661,3774,10178,
1,1739,1636,2256,
0,9661,3774,10178,
1,1739,1636,2256,
0,9661,3774,10178,
1,1739,1636,2256,
1,1739,1636,2256,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
1,1739,1636,2256,
0,9661,3774,10178,
1,1739,1636,2256,
0,9661,3774,10178,
0,9661,3774,10178,
1,1739,1636,2256,
0,9661,3774,10178,
0,9661,3774,10178,
1,1739,1636,2256,
1,1739,1636,2256,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
1,1739,1636,2256,
2,2915,1840,3432,
0,9661,3774,10178,
0,9661,3774,10178,
1,1739,1636,2256,
0,9661,3774,10178,
1,1739,1636,2256,
0,9661,3774,10178,
1,1739,1636,2256,
0,9661,3774,10178,
1,1739,1636,2256,
2,2915,1840,3432,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
1,1739,1636,2256,
0,9661,3774,10178,
1,1739,1636,2256,
0,9661,3774,10178,
1,1739,1636,2256,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
1,1739,1636,2256,
0,9661,3774,10178,
1,1739,1636,2256,
0,9661,3774,10178,
1,1739,1636,2256,
0,9661,3774,10178,
1,1739,1636,2256,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
1,1739,1636,2256,
0,9661,3774,10178,
1,1739,1636,2256,
0,9661,3774,10178,
0,9661,3774,10178,
1,1739,1636,2256,
0,9661,3774,10178,
0,9661,3774,10178,
1,1739,1636,2256,
1,1739,1636,2256,
2,2915,1840,3432,
2,2915,1840,3432,
0,9661,3774,10178,
1,1739,1636,2256,
0,9661,3774,10178,
0,9661,3774,10178,
1,1739,1636,2256,
0,9661,3774,10178,
1,1739,1636,2256,
0,9661,3774,10178,
0,9661,3774,10178,
0,9661,3774,10178,
1,1739,1636,2256,
0,9661,3774,10178,
0,9661,3774,10178,
1,1739,1636,2256,
0,9661,3774,10178,
0,9661,3774,10178,
