F61,F77,F88,F70,
14,7561,1423,10711,
16,7664,1437,10814,
7,8902,1659,12052,
1,4452,909,7602,
5,3383,665,6533,
5,3383,665,6533,
5,3383,665,6533,
0,861,189,4011,
46,4953,1020,8103,
71,9185,1730,12335,
16,9514,1808,12664,
1,3753,763,6903,
26,3466,686,6616,
5,361,104,3511,
6,367,105,3517,
5,3753,763,6903,
13,2916,580,6066,
0,10625,2130,13775,
41,5354,1105,8504,
28,7073,1366,10223,
2,1476,294,4626,
2,1476,294,4626,
2,1476,294,4626,
2,1476,294,4626,
12,3900,791,7050,
2,4356,887,7506,
2,4356,887,7506,
211,7969,1489,11119,
226,8102,1511,11252,
226,8102,1511,11252,
181,7168,1381,10318,
251,8245,1538,11395,
251,8245,1538,11395,
254,8261,1540,11411,
254,8261,1540,11411,
270,8703,1615,11853,
211,7969,1489,11119,
330,10625,2130,13775,
154,6734,1323,9884,
330,10625,2130,13775,
96,5747,1170,8897,
330,10625,2130,13775,
330,10625,2130,13775,
330,10625,2130,13775,
330,10625,2130,13775,
251,8245,1538,11395,
330,10625,2130,13775,
164,6988,1357,10138,
164,6988,1357,10138,
10,8036,1503,11186,
10,8036,1503,11186,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
2,2161,437,5311,
44,8703,1615,11853,
65,10625,2130,13775,
65,10625,2130,13775,
65,10625,2130,13775,
36,8036,1503,11186,
34,10625,2130,13775,
34,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
3,10625,2130,13775,
29,10625,2130,13775,
32,6229,1235,9379,
62,8073,1507,11223,
70,8231,1534,11381,
32,6229,1235,9379,
7,6157,1221,9307,
21,8361,1556,11511,
14,8209,1532,11359,
14,8209,1532,11359,
8,5766,1174,8916,
3,992,216,4142,
28,6283,1244,9433,
6,9538,1813,12688,
1,992,216,4142,
2,1723,335,4873,
0,992,216,4142,
0,992,216,4142,
2,992,216,4142,
2,992,216,4142,
2,992,216,4142,
3,992,216,4142,
9,8021,1499,11171,
9,8021,1499,11171,
2,1948,394,5098,
2,1948,394,5098,
2,1948,394,5098,
2,1948,394,5098,
134,3530,707,6680,
105,2788,553,5938,
200,4598,946,7748,
430,10625,2130,13775,
430,10625,2130,13775,
133,3521,702,6671,
12,2085,427,5235,
12,2085,427,5235,
516,10625,2130,13775,
516,10625,2130,13775,
516,10625,2130,13775,
516,10625,2130,13775,
516,10625,2130,13775,
361,8995,1682,12145,
516,10625,2130,13775,
36,4973,1023,8123,
36,4973,1023,8123,
8,2062,422,5212,
14,3391,666,6541,
12,6593,1300,9743,
27,5276,1080,8426,
27,5276,1080,8426,
27,5276,1080,8426,
27,5276,1080,8426,
27,5276,1080,8426,
27,5276,1080,8426,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
2,10625,2130,13775,
2,10625,2130,13775,
2,10625,2130,13775,
2,10625,2130,13775,
1,6344,1251,9494,
2,10625,2130,13775,
2,10625,2130,13775,
2,10625,2130,13775,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
2,10625,2130,13775,
2,10625,2130,13775,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
1,6344,1251,9494,
61,6593,1300,9743,
42,5276,1080,8426,
9,2988,594,6138,
16,7627,1434,10777,
19,2788,553,5938,
104,6593,1300,9743,
10,5303,1086,8453,
18,6593,1300,9743,
1,2108,430,5258,
1,2108,430,5258,
1,2108,430,5258,
1,2108,430,5258,
1,1201,245,4351,
1,1201,245,4351,
13,3518,699,6668,
24,1001,217,4151,
23,963,210,4113,
24,1001,217,4151,
24,1001,217,4151,
24,1001,217,4151,
14,1562,315,4712,
2,491,127,3641,
0,141,50,3291,
0,141,50,3291,
2,491,127,3641,
2,491,127,3641,
2,491,127,3641,
20,3484,691,6634,
0,618,146,3768,
0,618,146,3768,
0,618,146,3768,
0,618,146,3768,
0,618,146,3768,
0,618,146,3768,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
0,10625,2130,13775,
1,175,57,3325,
1,175,57,3325,
1,175,57,3325,
0,273,79,3423,
0,273,79,3423,
28,1039,223,4189,
1,327,90,3477,
1,327,90,3477,
1,327,90,3477,
8,1036,223,4186,
0,3693,753,6843,
16,3484,691,6634,
16,3484,691,6634,
57,5236,1071,8386,
70,5236,1071,8386,
10,1839,361,4989,
10,1839,361,4989,
17,2712,534,5862,
1,141,50,3291,
0,1831,358,4981,
0,1831,358,4981,
0,1839,361,4989,
0,1839,361,4989,
3,3753,763,6903,
104,5236,1071,8386,
2,1839,361,4989,
207,5236,1071,8386,
207,5236,1071,8386,
207,5236,1071,8386,
207,5236,1071,8386,
207,5236,1071,8386,
6,10625,2130,13775,
0,10625,2130,13775,
3,1217,247,4367,
48,6270,1240,9420,
48,6270,1240,9420,
25,1738,337,4888,
25,1738,337,4888,
22,1838,361,4988,
10,1086,231,4236,
10,1086,231,4236,
1,1748,338,4898,
80,6196,1229,9346,
80,6196,1229,9346,
