F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,
17,13,1342,3,12,136,6,29,0.40168539325842695,263,38,0.1444866920152091,0.35294117647058826,0,1,
4,13,1342,3,8,136,1,29,0.5870786516853933,263,38,0.1444866920152091,0.75,0,1,
13,13,1342,3,8,136,2,29,0.547752808988764,263,38,0.1444866920152091,0.9230769230769231,0,1,
0,13,1342,3,0,136,1,29,0.898876404494382,263,38,0.1444866920152091,1.0,0,1,
0,13,1342,3,10,136,1,29,0.8679775280898876,263,38,0.1444866920152091,1.0,0,1,
0,13,1342,3,9,136,1,29,0.6095505617977528,263,38,0.1444866920152091,1.0,0,1,
70,17,1342,1,13,136,6,29,0.5273364485981308,677,34,0.050221565731166914,0.08571428571428572,8,0,
8,17,1342,1,8,136,2,29,0.5502336448598131,677,34,0.050221565731166914,0.5,0,1,
14,17,1342,1,8,136,2,29,0.522196261682243,677,34,0.050221565731166914,0.21428571428571427,8,1,
0,4,1342,1,8,136,1,29,0.37735849056603776,44,2,0.045454545454545456,1.0,0,1,
0,4,1342,1,8,136,1,29,0.3584905660377358,44,2,0.045454545454545456,1.0,0,1,
3,3,1342,1,8,136,1,29,0.875,20,28,1.4,0.6666666666666666,0,1,
7,5,1342,1,0,136,4,29,0.7474747474747475,77,2,0.025974025974025976,1.0,0,1,
13,5,1342,1,8,136,5,29,0.898989898989899,77,2,0.025974025974025976,0.5384615384615384,18,1,
16,12,1342,1,0,136,10,29,0.47770700636942676,212,60,0.2830188679245283,1.0,21,1,
10,24,794,1,8,179,7,12,0.7849162011173184,249,32,0.1285140562248996,0.7,0,1,
7,24,794,1,8,179,3,12,0.30726256983240224,249,32,0.1285140562248996,0.5714285714285714,0,1,
10,24,794,1,12,179,7,12,0.776536312849162,249,32,0.1285140562248996,0.5,0,1,
4,24,794,1,8,179,2,12,0.8463687150837989,249,32,0.1285140562248996,0.5,0,1,
8,6,794,1,10,179,3,12,0.5967741935483871,60,41,0.6833333333333333,0.375,0,1,
4,12,794,1,8,179,3,12,0.42857142857142855,92,20,0.21739130434782608,0.5,2,1,
11,3,131,1,8,14,7,5,0.8955223880597015,34,21,0.6176470588235294,0.5454545454545454,12,1,
0,14,127,1,8,38,1,4,0.582089552238806,86,22,0.2558139534883721,1.0,0,1,
7,3,92,1,8,10,6,4,0.9344262295081968,28,21,0.75,0.7142857142857143,5,1,
0,5,99,1,11,12,1,3,0.25274725274725274,130,21,0.16153846153846155,1.0,0,1,
0,2,99,1,4,12,1,3,0.8157894736842105,14,21,1.5,1.0,0,1,
0,1,78,1,6,18,1,6,0.9393939393939394,12,18,1.5,1.0,0,1,
0,4,78,1,6,18,1,6,0.6,27,21,0.7777777777777778,1.0,0,1,
0,2,78,1,7,18,1,6,0.8043478260869565,21,18,0.8571428571428571,1.0,0,1,
26,14,712,1,12,163,6,16,0.6351351351351351,163,25,0.15337423312883436,0.6923076923076923,0,1,
15,14,712,1,12,163,5,16,0.963963963963964,163,25,0.15337423312883436,0.6666666666666666,10,1,
3,9,712,1,8,163,1,16,0.8293650793650794,45,65,1.4444444444444444,0.6666666666666666,0,0,
3,9,712,1,6,163,1,16,0.9087301587301587,45,65,1.4444444444444444,0.8333333333333334,0,0,
13,37,712,1,8,163,5,16,0.8034398034398035,274,65,0.23722627737226276,0.5629370629370629,2,1,
4,15,801,1,8,158,1,20,0.8347107438016529,180,28,0.15555555555555556,0.5,0,1,
4,15,801,1,8,158,1,20,0.8057851239669421,180,28,0.15555555555555556,0.5,0,1,
45,15,801,1,12,158,9,20,0.3884297520661157,180,28,0.15555555555555556,0.13333333333333333,25,1,
45,15,801,1,16,158,9,20,0.5785123966942148,180,28,0.15555555555555556,0.7333333333333333,25,1,
45,15,801,1,12,158,9,20,0.6363636363636364,180,28,0.15555555555555556,0.9555555555555556,25,1,
18,12,801,1,16,158,4,20,0.8468992248062015,427,37,0.08665105386416862,0.5,0,1,
64,12,801,1,28,158,24,20,0.2868217054263566,427,37,0.08665105386416862,0.65625,0,1,
64,12,801,1,20,158,24,20,0.3236434108527132,427,37,0.08665105386416862,0.84375,0,1,
24,12,801,1,16,158,8,20,0.4418604651162791,427,37,0.08665105386416862,0.20833333333333334,23,1,
0,18,801,1,7,158,1,20,0.03865979381443299,210,125,0.5952380952380952,1.0,0,1,
0,7,801,1,4,158,1,20,0.11811023622047244,50,60,1.2,1.0,0,1,
0,2,801,1,10,158,1,20,0.8,14,23,1.6428571428571428,1.0,0,1,
0,2,801,1,10,158,1,20,0.8,14,23,1.6428571428571428,1.0,0,1,
0,7,801,1,4,158,1,20,0.11811023622047244,50,60,1.2,1.0,0,1,
0,9,801,1,4,158,1,20,0.10256410256410256,59,77,1.305084745762712,1.0,0,1,
0,19,801,1,5,158,1,20,0.05423728813559322,129,128,0.9922480620155039,1.0,0,1,
29,30,649,1,12,37,10,2,0.7787903893951947,848,305,0.3596698113207547,0.20689655172413793,0,1,
29,30,649,1,12,37,9,2,0.8210439105219552,848,305,0.3596698113207547,0.20689655172413793,0,1,
32,30,649,1,12,37,11,2,0.8632974316487159,848,305,0.3596698113207547,0.1875,0,1,
56,30,649,1,12,37,18,2,0.9088649544324772,848,305,0.3596698113207547,0.10714285714285714,0,1,
13,30,649,1,16,37,3,2,0.30571665285832644,848,305,0.3596698113207547,0.3076923076923077,0,1,
13,30,649,1,16,37,3,2,0.33057166528583265,848,305,0.3596698113207547,0.3076923076923077,0,1,
3,30,649,1,8,37,1,2,0.1275890637945319,848,305,0.3596698113207547,0.6666666666666666,0,1,
3,30,649,1,8,37,1,2,0.20049710024855014,848,305,0.3596698113207547,0.6666666666666666,0,1,
13,30,649,1,12,37,3,2,0.16072908036454017,848,305,0.3596698113207547,0.6267806267806268,0,1,
6,30,649,1,8,37,2,2,0.18475559237779618,848,305,0.3596698113207547,0.6333333333333333,0,1,
13,30,649,1,12,37,3,2,0.2526926263463132,848,305,0.3596698113207547,0.6267806267806268,0,1,
13,30,649,1,12,37,3,2,0.2775476387738194,848,305,0.3596698113207547,0.6267806267806268,0,1,
13,30,649,1,12,37,3,2,0.3272576636288318,848,305,0.3596698113207547,0.6267806267806268,0,1,
8,30,649,1,10,37,4,2,0.352112676056338,848,305,0.3596698113207547,0.6375,0,1,
13,30,649,1,12,37,3,2,0.3711681855840928,848,305,0.3596698113207547,0.6267806267806268,2,1,
27,7,649,1,0,37,9,2,0.4419475655430712,178,73,0.4101123595505618,1.0,0,1,
32,7,649,1,0,37,9,2,0.951310861423221,178,73,0.4101123595505618,1.0,44,1,
32,7,649,1,0,37,9,2,0.898876404494382,178,73,0.4101123595505618,1.0,44,1,
3,33,1264,1,8,225,1,28,0.8156424581005587,217,57,0.2626728110599078,0.6666666666666666,0,1,
3,33,1264,1,8,225,1,28,0.6340782122905028,217,57,0.2626728110599078,0.6666666666666666,0,1,
3,33,1264,1,8,225,1,28,0.5446927374301676,217,57,0.2626728110599078,0.6666666666666666,1,1,
0,12,1264,2,21,225,1,28,0.6855123674911661,195,28,0.14358974358974358,1.0,0,1,
112,18,1264,4,0,225,55,28,0.7881619937694704,498,49,0.09839357429718876,1.0,0,1,
0,18,1264,4,16,225,1,28,0.16822429906542055,498,49,0.09839357429718876,1.0,0,1,
3,5,1264,1,8,225,2,28,0.9819819819819819,71,19,0.2676056338028169,0.6666666666666666,0,1,
27,5,1264,1,0,225,8,28,0.5945945945945946,71,19,0.2676056338028169,1.0,19,1,
0,12,1264,1,8,225,1,28,0.4222222222222222,52,23,0.4423076923076923,1.0,0,1,
0,2,373,2,12,59,1,17,0.6451612903225806,28,23,0.8214285714285714,1.0,0,1,
10,5,373,1,0,59,4,17,0.5376344086021505,54,25,0.46296296296296297,1.0,6,1,
0,2,373,2,12,59,1,17,0.6451612903225806,28,23,0.8214285714285714,1.0,0,1,
15,13,97,2,20,16,5,3,0.6830357142857143,138,37,0.26811594202898553,0.6,0,1,
7,13,97,2,8,16,1,3,0.8660714285714286,138,37,0.26811594202898553,0.42857142857142855,0,1,
11,13,97,2,8,16,1,3,0.5446428571428571,138,37,0.26811594202898553,0.7272727272727273,3,1,
11,13,97,2,12,16,1,3,0.5044642857142857,138,37,0.26811594202898553,0.2727272727272727,3,1,
3,7,1475,6,0,87,1,16,0.6680942184154176,317,78,0.24605678233438485,1.0,0,1,
0,7,1475,6,12,87,1,16,0.5417558886509636,317,78,0.24605678233438485,1.0,0,1,
3,7,1475,6,16,87,1,16,0.3747323340471092,317,78,0.24605678233438485,0.3333333333333333,0,1,
0,2,1475,1,8,87,1,16,0.6071428571428571,33,18,0.5454545454545454,1.0,0,1,
12,2,1475,1,12,87,3,16,0.8571428571428571,33,18,0.5454545454545454,0.5,9,1,
7,4,788,1,8,39,3,10,0.9660377358490566,168,35,0.20833333333333334,0.42857142857142855,6,2,
0,2,788,4,7,39,1,10,0.4074074074074074,77,23,0.2987012987012987,1.0,0,1,
19,5,788,1,16,39,4,10,0.6,101,30,0.297029702970297,0.6842105263157895,7,1,
33,28,788,4,16,39,5,10,0.2838983050847458,882,84,0.09523809523809523,0.696969696969697,49,2,
12,19,165,1,8,20,1,2,0.61731843575419,256,34,0.1328125,0.6666666666666666,15,1,
8,6,172,4,8,39,1,11,0.918918918918919,96,21,0.21875,0.75,0,1,
8,6,172,4,8,39,1,11,0.5675675675675675,96,21,0.21875,0.75,0,1,
24,6,172,4,8,39,2,11,0.8175675675675675,96,21,0.21875,0.9166666666666666,0,1,
0,6,172,4,14,39,1,11,0.6554054054054054,96,21,0.21875,1.0,0,1,
0,6,172,4,12,39,1,11,0.7432432432432432,96,21,0.21875,1.0,0,1,
0,6,172,4,8,39,1,11,0.581081081081081,96,21,0.21875,1.0,0,1,
3,103,1167,1,8,360,1,21,0.2520852641334569,811,44,0.05425400739827373,0.6666666666666666,0,1,
4,103,1167,1,8,360,1,21,0.3818350324374421,811,44,0.05425400739827373,0.5,1,1,
0,3,961,1,3,198,1,22,0.5849056603773585,22,22,1.0,1.0,0,1,
0,11,1167,1,4,360,1,21,0.38345864661654133,82,31,0.3780487804878049,1.0,0,1,
0,6,768,1,4,125,1,21,0.32857142857142857,81,36,0.4444444444444444,1.0,0,1,
10,6,768,1,8,125,7,21,0.6071428571428571,81,36,0.4444444444444444,0.5444444444444445,1,0,
7,3,768,1,8,125,5,21,0.864406779661017,32,17,0.53125,0.2857142857142857,5,1,
12,3,768,1,8,125,7,21,0.7868852459016393,33,19,0.5757575757575758,0.16666666666666666,14,1,
0,180,5033,1,6,691,1,65,0.0428380187416332,1637,238,0.14538790470372634,1.0,0,1,
14,17,768,1,0,125,3,21,0.8511749347258486,272,63,0.23161764705882354,1.0,0,0,
8,17,768,1,0,125,4,21,0.8093994778067886,272,63,0.23161764705882354,1.0,0,1,
12,17,768,1,0,125,5,21,0.9686684073107049,272,63,0.23161764705882354,1.0,0,1,
8,17,768,1,0,125,4,21,0.7859007832898173,272,63,0.23161764705882354,1.0,0,1,
4,17,768,1,0,125,2,21,0.7310704960835509,272,63,0.23161764705882354,1.0,0,1,
6,17,768,1,8,125,1,21,0.9347258485639687,272,63,0.23161764705882354,0.6666666666666666,0,1,
7,17,768,1,0,125,2,21,0.7597911227154047,272,63,0.23161764705882354,1.0,0,1,
7,17,768,1,8,125,2,21,0.9033942558746736,272,63,0.23161764705882354,0.5714285714285714,6,1,
0,10,2823,2,8,296,1,62,0.740909090909091,160,23,0.14375,1.0,0,1,
27,4,2823,1,12,296,6,62,0.8617886178861789,75,29,0.38666666666666666,0.5925925925925926,17,2,
25,1,2823,1,8,296,5,62,0.7972972972972973,43,17,0.3953488372093023,0.56,29,1,
25,1,2823,1,8,296,5,62,0.8243243243243243,43,17,0.3953488372093023,0.6,29,1,
25,1,2823,1,0,296,5,62,0.7567567567567568,43,17,0.3953488372093023,1.0,29,1,
0,6,2823,3,9,296,1,62,0.5426356589147286,168,43,0.25595238095238093,1.0,0,1,
0,4,2823,2,12,296,1,62,0.6617647058823529,40,17,0.425,1.0,0,1,
24,2,2823,1,0,296,3,62,0.8942307692307693,57,28,0.49122807017543857,1.0,0,1,
50,2,2823,1,0,296,16,62,0.8333333333333334,139,26,0.18705035971223022,1.0,37,1,
15,4,2823,2,0,296,3,62,0.41379310344827586,122,33,0.27049180327868855,1.0,3,1,
50,14,2823,4,20,296,17,62,0.29591836734693877,381,43,0.11286089238845144,0.54,0,1,
0,14,2823,4,0,296,1,62,0.5693877551020409,381,43,0.11286089238845144,1.0,0,1,
6,7,2823,1,8,296,1,62,0.4748201438848921,105,19,0.18095238095238095,0.5,0,1,
6,7,2823,1,8,296,1,62,0.5467625899280576,105,19,0.18095238095238095,0.5,2,1,
111,9,2823,1,8,296,28,62,0.6259625962596259,189,70,0.37037037037037035,0.02702702702702703,21,0,
37,9,2823,1,16,296,10,62,0.5742574257425742,189,70,0.37037037037037035,0.35135135135135137,21,1,
37,9,2823,1,0,296,10,62,0.636963696369637,189,70,0.37037037037037035,1.0,21,1,
3,50,2823,1,0,296,1,62,0.128125,240,24,0.1,1.0,1,1,
28,8,2823,3,12,296,3,62,0.2088607594936709,387,31,0.08010335917312661,0.21428571428571427,0,0,
8,8,2823,3,12,296,2,62,0.41139240506329117,387,31,0.08010335917312661,0.625,0,1,
14,8,2823,3,8,296,2,62,0.31645569620253167,387,31,0.08010335917312661,0.8571428571428571,0,1,
0,8,2823,3,0,296,1,62,0.19831223628691982,387,31,0.08010335917312661,1.0,0,1,
14,8,2823,3,0,296,2,62,0.4451476793248945,387,31,0.08010335917312661,1.0,0,1,
26,3,2823,2,8,296,4,62,0.558282208588957,119,17,0.14285714285714285,0.15384615384615385,0,1,
