F61,F77,F88,F70,
1,23,12,779,
15,5931,2579,6687,
24,7035,2985,7791,
1,23,12,779,
5,7379,3245,8135,
1,7379,3245,8135,
1,7379,3245,8135,
15,7379,3245,8135,
15,7379,3245,8135,
20,2408,1529,3164,
74,7379,3245,8135,
74,7379,3245,8135,
28,3703,2071,4459,
28,3703,2071,4459,
21,2819,1808,3575,
21,2819,1808,3575,
21,2819,1808,3575,
30,3983,2182,4739,
21,2819,1808,3575,
67,7063,3001,7819,
62,6726,2802,7482,
74,7379,3245,8135,
2,621,367,1377,
2,621,367,1377,
30,3983,2182,4739,
2,621,367,1377,
67,7063,3001,7819,
67,7063,3001,7819,
20,2408,1529,3164,
20,2408,1529,3164,
74,7379,3245,8135,
2,621,367,1377,
2,621,367,1377,
30,3983,2182,4739,
2,621,367,1377,
20,2408,1529,3164,
2,534,317,1290,
25,7378,3245,8134,
1,3376,1969,4132,
23,7378,3245,8134,
4,3984,2182,4740,
4,3984,2182,4740,
25,7378,3245,8134,
35,7379,3245,8135,
7,3415,1977,4171,
7,3415,1977,4171,
35,7378,3245,8134,
35,7378,3245,8134,
35,7378,3245,8134,
35,7378,3245,8134,
1,2171,1319,2927,
1,2060,1245,2816,
25,7378,3245,8134,
30,6386,2684,7142,
4,219,83,975,
16,3253,1949,4009,
12,7035,2985,7791,
5,7035,2985,7791,
8,4453,2256,5209,
2,5759,2527,6515,
2,170,68,926,
2,170,68,926,
2,170,68,926,
2,170,68,926,
1,170,68,926,
2,170,68,926,
3,170,68,926,
3,170,68,926,
3,170,68,926,
3,170,68,926,
3,170,68,926,
3,170,68,926,
3,170,68,926,
3,170,68,926,
3,170,68,926,
3,170,68,926,
3,170,68,926,
3,170,68,926,
3,170,68,926,
3,170,68,926,
6,170,68,926,
6,170,68,926,
6,170,68,926,
6,170,68,926,
1,170,68,926,
5,170,68,926,
5,170,68,926,
5,170,68,926,
5,170,68,926,
5,170,68,926,
5,170,68,926,
5,170,68,926,
5,170,68,926,
5,170,68,926,
5,170,68,926,
5,170,68,926,
5,170,68,926,
5,170,68,926,
5,170,68,926,
5,170,68,926,
5,170,68,926,
5,170,68,926,
5,170,68,926,
8,4435,2249,5191,
3,170,68,926,
3,170,68,926,
3,170,68,926,
3,170,68,926,
39,7030,2984,7786,
3,6009,2600,6765,
17,4112,2208,4868,
3,170,68,926,
22,7035,2985,7791,
0,117,47,873,
4,6246,2655,7002,
3,224,85,980,
0,146,59,902,
25,5995,2595,6751,
3,1089,661,1845,
11,7035,2985,7791,
19,7035,2985,7791,
19,7035,2985,7791,
5,224,85,980,
19,7035,2985,7791,
5,3441,1979,4197,
5,3441,1979,4197,
6,395,173,1151,
3,201,77,957,
3,201,77,957,
3,201,77,957,
7,7035,2985,7791,
3,4830,2318,5586,
2,3628,2049,4384,
2,3628,2049,4384,
18,7035,2985,7791,
9,7035,2985,7791,
58,7030,2984,7786,
59,7035,2985,7791,
58,7030,2984,7786,
6,224,85,980,
59,7035,2985,7791,
28,7035,2985,7791,
28,7035,2985,7791,
28,7035,2985,7791,
28,7035,2985,7791,
28,7035,2985,7791,
27,7030,2984,7786,
28,7035,2985,7791,
28,7035,2985,7791,
27,7030,2984,7786,
28,7035,2985,7791,
27,7030,2984,7786,
27,7030,2984,7786,
27,7030,2984,7786,
6,239,90,995,
27,7030,2984,7786,
27,7030,2984,7786,
27,7030,2984,7786,
6,239,90,995,
28,7035,2985,7791,
28,7035,2985,7791,
28,7035,2985,7791,
27,7030,2984,7786,
6,239,90,995,
27,7030,2984,7786,
28,7035,2985,7791,
27,7030,2984,7786,
27,7030,2984,7786,
27,7030,2984,7786,
27,7030,2984,7786,
27,7030,2984,7786,
27,7030,2984,7786,
27,7030,2984,7786,
27,7030,2984,7786,
28,7035,2985,7791,
27,7030,2984,7786,
28,7035,2985,7791,
28,7035,2985,7791,
32,7035,2985,7791,
26,5956,2585,6712,
5,224,85,980,
32,7035,2985,7791,
32,7035,2985,7791,
5,7030,2984,7786,
5,7030,2984,7786,
7,7035,2985,7791,
7,7035,2985,7791,
8,7035,2985,7791,
7,7030,2984,7786,
7,7030,2984,7786,
7,7030,2984,7786,
25,7030,2984,7786,
25,7030,2984,7786,
25,7030,2984,7786,
25,7030,2984,7786,
25,7030,2984,7786,
25,7030,2984,7786,
26,7035,2985,7791,
25,7030,2984,7786,
25,7030,2984,7786,
25,7030,2984,7786,
25,7030,2984,7786,
26,7035,2985,7791,
26,7035,2985,7791,
26,7035,2985,7791,
25,7030,2984,7786,
25,7030,2984,7786,
25,7030,2984,7786,
25,7030,2984,7786,
25,7030,2984,7786,
25,5078,2388,5834,
32,7030,2984,7786,
32,7030,2984,7786,
32,7030,2984,7786,
32,7030,2984,7786,
33,7035,2985,7791,
32,7030,2984,7786,
33,7035,2985,7791,
33,7035,2985,7791,
13,6157,2635,6913,
10,7035,2985,7791,
10,7035,2985,7791,
10,7035,2985,7791,
10,7035,2985,7791,
10,7035,2985,7791,
10,7035,2985,7791,
9,7030,2984,7786,
7,7035,2985,7791,
7,7035,2985,7791,
12,4096,2207,4852,
12,4096,2207,4852,
16,7030,2984,7786,
17,7035,2985,7791,
17,7035,2985,7791,
17,7035,2985,7791,
16,7030,2984,7786,
8,1253,779,2009,
8,1253,779,2009,
35,7030,2984,7786,
15,7035,2985,7791,
12,7379,3245,8135,
12,7379,3245,8135,
12,7378,3245,8134,
13,7379,3245,8135,
13,7379,3245,8135,
13,7379,3245,8135,
13,7379,3245,8135,
11,7378,3245,8134,
11,7378,3245,8134,
11,7378,3245,8134,
13,7379,3245,8135,
13,7379,3245,8135,
13,7379,3245,8135,
13,7379,3245,8135,
13,7379,3245,8135,
13,7378,3245,8134,
12,7379,3245,8135,
2,550,327,1306,
2,550,327,1306,
2,550,327,1306,
2,550,327,1306,
2,550,327,1306,
2,550,327,1306,
2,550,327,1306,
2,550,327,1306,
26,7378,3245,8134,
10,7378,3245,8134,
10,7379,3245,8135,
2,1559,935,2315,
21,7378,3245,8134,
16,6822,2884,7578,
31,6726,2802,7482,
42,7378,3245,8134,
42,7378,3245,8134,
31,6726,2802,7482,
42,7378,3245,8134,
42,7378,3245,8134,
42,7378,3245,8134,
42,7378,3245,8134,
42,7378,3245,8134,
5,575,341,1331,
5,575,341,1331,
28,7379,3245,8135,
28,7379,3245,8135,
28,7379,3245,8135,
28,7378,3245,8134,
28,7378,3245,8134,
28,7378,3245,8134,
17,6194,2642,6950,
28,7379,3245,8135,
28,7378,3245,8134,
28,7378,3245,8134,
28,7378,3245,8134,
0,2535,1629,3291,
16,7379,3245,8135,
8,5834,2540,6590,
16,7378,3245,8134,
2,6009,2600,6765,
2,3235,1948,3991,
2,2804,1801,3560,
3,2901,1836,3657,
2,2804,1801,3560,
10,7378,3245,8134,
0,96,39,852,
0,7379,3245,8135,
6,7378,3245,8134,
12,7378,3245,8134,
9,7378,3245,8134,
7,7379,3245,8135,
14,7379,3245,8135,
14,7379,3245,8135,
17,7379,3245,8135,
17,7378,3245,8134,
17,7379,3245,8135,
0,97,39,853,
7,7379,3245,8135,
6,7379,3245,8135,
15,7379,3245,8135,
15,7379,3245,8135,
7,7379,3245,8135,
13,7379,3245,8135,
13,7379,3245,8135,
5,7379,3245,8135,
16,7378,3245,8134,
16,7379,3245,8135,
7,7379,3245,8135,
7,7379,3245,8135,
5,1070,642,1826,
5,1070,642,1826,
5,1070,642,1826,
5,1070,642,1826,
5,1070,642,1826,
5,1070,642,1826,
8,7378,3245,8134,
5,7379,3245,8135,
7,7379,3245,8135,
6,7378,3245,8134,
7,7378,3245,8134,
31,7379,3245,8135,
31,7378,3245,8134,
31,7378,3245,8134,
6,7379,3245,8135,
2,6323,2671,7079,
15,7379,3245,8135,
15,7379,3245,8135,
15,7378,3245,8134,
15,7378,3245,8134,
15,7378,3245,8134,
8,7379,3245,8135,
8,7378,3245,8134,
8,7379,3245,8135,
0,0,2,756,
0,0,2,756,
0,0,2,756,
0,0,2,756,
8,7378,3245,8134,
19,7379,3245,8135,
19,7378,3245,8134,
19,7378,3245,8134,
13,7379,3245,8135,
13,7379,3245,8135,
13,7379,3245,8135,
13,7379,3245,8135,
8,7378,3245,8134,
19,7379,3245,8135,
19,7379,3245,8135,
9,7378,3245,8134,
9,4350,2236,5106,
7,7378,3245,8134,
11,7379,3245,8135,
11,7379,3245,8135,
11,7379,3245,8135,
11,7379,3245,8135,
11,7379,3245,8135,
11,7379,3245,8135,
11,7379,3245,8135,
9,7378,3245,8134,
4,2319,1454,3075,
7,7379,3245,8135,
34,7379,3245,8135,
34,7379,3245,8135,
8,2319,1454,3075,
8,2319,1454,3075,
9,6636,2759,7392,
10,7379,3245,8135,
8,6636,2759,7392,
2,3673,2057,4429,
2,3673,2057,4429,
12,6636,2759,7392,
32,7378,3245,8134,
0,425,205,1181,
22,7378,3245,8134,
22,7378,3245,8134,
22,7378,3245,8134,
5,5345,2456,6101,
10,7108,3028,7864,
0,4490,2260,5246,
15,7378,3245,8134,
15,7378,3245,8134,
7,7378,3245,8134,
6,7378,3245,8134,
6,7378,3245,8134,
5,7378,3245,8134,
5,7378,3245,8134,
5,7378,3245,8134,
5,7378,3245,8134,
17,7379,3245,8135,
7,7379,3245,8135,
6,7379,3245,8135,
21,7379,3245,8135,
21,7379,3245,8135,
21,7379,3245,8135,
21,7379,3245,8135,
21,7379,3245,8135,
21,7379,3245,8135,
21,7379,3245,8135,
5,6395,2685,7151,
2,4642,2288,5398,
2,2048,1238,2804,
2,2048,1238,2804,
2,2569,1651,3325,
10,4613,2284,5369,
4,2569,1651,3325,
12,4613,2284,5369,
2,2569,1651,3325,
10,4613,2284,5369,
2,2569,1651,3325,
