F72,F54,F53,F55,F25,F26,
4679,org/apache/lucene/analysis,lucene,org/apache/lucene/analysis/BaseTokenStreamTestCase.java,7,true,
4679,org/apache/lucene/analysis,lucene,org/apache/lucene/analysis/BaseTokenStreamTestCase.java,7,true,
19865,org/apache/lucene/util,lucene,org/apache/lucene/util/AttributeSource.java,1985,true,
19865,org/apache/lucene/util,lucene,org/apache/lucene/util/AttributeSource.java,1985,true,
10892,org/apache/lucene/analysis,lucene,org/apache/lucene/analysis/CannedBinaryTokenStream.java,824,true,
10892,org/apache/lucene/analysis,lucene,org/apache/lucene/analysis/CannedBinaryTokenStream.java,824,true,
10892,org/apache/lucene/analysis,lucene,org/apache/lucene/analysis/CannedBinaryTokenStream.java,824,true,
19865,org/apache/lucene/util,lucene,org/apache/lucene/util/AttributeSource.java,1985,true,
6742,org/apache/lucene/analysis,lucene,org/apache/lucene/analysis/CollationTestBase.java,294,true,
6742,org/apache/lucene/analysis,lucene,org/apache/lucene/analysis/CollationTestBase.java,294,true,
6742,org/apache/lucene/analysis,lucene,org/apache/lucene/analysis/CollationTestBase.java,294,true,
6742,org/apache/lucene/analysis,lucene,org/apache/lucene/analysis/CollationTestBase.java,294,true,
6742,org/apache/lucene/analysis,lucene,org/apache/lucene/analysis/CollationTestBase.java,294,true,
6742,org/apache/lucene/analysis,lucene,org/apache/lucene/analysis/CollationTestBase.java,294,true,
19865,org/apache/lucene/util,lucene,org/apache/lucene/util/AttributeSource.java,1985,true,
12834,org/apache/lucene/analysis,lucene,org/apache/lucene/analysis/MockAnalyzer.java,990,true,
19865,org/apache/lucene/util,lucene,org/apache/lucene/util/AttributeSource.java,1985,true,
19865,org/apache/lucene/util,lucene,org/apache/lucene/util/AttributeSource.java,1985,true,
19865,org/apache/lucene/util,lucene,org/apache/lucene/util/AttributeSource.java,1985,true,
19865,org/apache/lucene/util,lucene,org/apache/lucene/util/AttributeSource.java,1985,true,
6560,org/apache/lucene/analysis,lucene,org/apache/lucene/analysis/MockPayloadAnalyzer.java,275,true,
6560,org/apache/lucene/analysis,lucene,org/apache/lucene/analysis/MockPayloadAnalyzer.java,275,true,
6560,org/apache/lucene/analysis,lucene,org/apache/lucene/analysis/MockPayloadAnalyzer.java,275,true,
19865,org/apache/lucene/util,lucene,org/apache/lucene/util/AttributeSource.java,1985,true,
12934,org/apache/lucene/analysis,lucene,org/apache/lucene/analysis/MockRandomLookaheadTokenFilter.java,997,true,
12934,org/apache/lucene/analysis,lucene,org/apache/lucene/analysis/MockRandomLookaheadTokenFilter.java,997,true,
19865,org/apache/lucene/util,lucene,org/apache/lucene/util/AttributeSource.java,1985,true,
19865,org/apache/lucene/util,lucene,org/apache/lucene/util/AttributeSource.java,1985,true,
19865,org/apache/lucene/util,lucene,org/apache/lucene/util/AttributeSource.java,1985,true,
19865,org/apache/lucene/util,lucene,org/apache/lucene/util/AttributeSource.java,1985,true,
21264,org/apache/lucene/analysis,lucene,org/apache/lucene/analysis/Token.java,2324,true,
21264,org/apache/lucene/analysis,lucene,org/apache/lucene/analysis/Token.java,2324,true,
19865,org/apache/lucene/util,lucene,org/apache/lucene/util/AttributeSource.java,1985,true,
19865,org/apache/lucene/util,lucene,org/apache/lucene/util/AttributeSource.java,1985,true,
19865,org/apache/lucene/util,lucene,org/apache/lucene/util/AttributeSource.java,1985,true,
19872,org/apache/lucene/analysis/ar,lucene,org/apache/lucene/analysis/ar/ArabicStemmer.java,1987,true,
19872,org/apache/lucene/analysis/ar,lucene,org/apache/lucene/analysis/ar/ArabicStemmer.java,1987,true,
19865,org/apache/lucene/util,lucene,org/apache/lucene/util/AttributeSource.java,1985,true,
