F61,F77,F88,F70,
5,491,377,779,
17,6399,2944,6687,
26,7503,3350,7791,
5,491,377,779,
5,7847,3610,8135,
1,7847,3610,8135,
1,7847,3610,8135,
15,7847,3610,8135,
15,7847,3610,8135,
23,2876,1894,3164,
77,7847,3610,8135,
77,7847,3610,8135,
31,4171,2436,4459,
31,4171,2436,4459,
24,3287,2173,3575,
24,3287,2173,3575,
24,3287,2173,3575,
33,4451,2547,4739,
24,3287,2173,3575,
70,7531,3366,7819,
65,7194,3167,7482,
77,7847,3610,8135,
5,1089,732,1377,
5,1089,732,1377,
33,4451,2547,4739,
5,1089,732,1377,
70,7531,3366,7819,
70,7531,3366,7819,
23,2876,1894,3164,
23,2876,1894,3164,
77,7847,3610,8135,
5,1089,732,1377,
5,1089,732,1377,
33,4451,2547,4739,
5,1089,732,1377,
23,2876,1894,3164,
2,1002,682,1290,
26,7846,3610,8134,
2,3844,2334,4132,
24,7846,3610,8134,
5,4452,2547,4740,
5,4452,2547,4740,
26,7846,3610,8134,
35,7847,3610,8135,
7,3883,2342,4171,
7,3883,2342,4171,
35,7846,3610,8134,
35,7846,3610,8134,
35,7846,3610,8134,
35,7846,3610,8134,
1,2639,1684,2927,
1,2528,1610,2816,
26,7846,3610,8134,
18,3721,2314,4009,
14,7503,3350,7791,
5,7503,3350,7791,
8,4921,2621,5209,
2,6227,2892,6515,
2,638,433,926,
2,638,433,926,
2,638,433,926,
2,638,433,926,
1,638,433,926,
2,638,433,926,
5,638,433,926,
5,638,433,926,
5,638,433,926,
5,638,433,926,
5,638,433,926,
5,638,433,926,
5,638,433,926,
5,638,433,926,
5,638,433,926,
5,638,433,926,
5,638,433,926,
5,638,433,926,
5,638,433,926,
5,638,433,926,
7,638,433,926,
7,638,433,926,
7,638,433,926,
7,638,433,926,
1,638,433,926,
9,638,433,926,
9,638,433,926,
9,638,433,926,
9,638,433,926,
9,638,433,926,
9,638,433,926,
9,638,433,926,
9,638,433,926,
9,638,433,926,
9,638,433,926,
9,638,433,926,
9,638,433,926,
7,638,433,926,
7,638,433,926,
7,638,433,926,
7,638,433,926,
7,638,433,926,
7,638,433,926,
8,4903,2614,5191,
3,638,433,926,
3,638,433,926,
3,638,433,926,
3,638,433,926,
39,7498,3349,7786,
3,6477,2965,6765,
17,4580,2573,4868,
24,7503,3350,7791,
0,585,412,873,
4,6714,3020,7002,
3,692,450,980,
0,614,424,902,
26,6463,2960,6751,
4,1557,1026,1845,
12,7503,3350,7791,
20,7503,3350,7791,
20,7503,3350,7791,
6,692,450,980,
20,7503,3350,7791,
5,3909,2344,4197,
5,3909,2344,4197,
7,7503,3350,7791,
3,5298,2683,5586,
2,4096,2414,4384,
2,4096,2414,4384,
20,7503,3350,7791,
9,7503,3350,7791,
63,7503,3350,7791,
62,7498,3349,7786,
10,692,450,980,
63,7503,3350,7791,
29,7503,3350,7791,
29,7503,3350,7791,
29,7503,3350,7791,
29,7503,3350,7791,
29,7503,3350,7791,
28,7498,3349,7786,
29,7503,3350,7791,
29,7503,3350,7791,
28,7498,3349,7786,
29,7503,3350,7791,
28,7498,3349,7786,
28,7498,3349,7786,
28,7498,3349,7786,
7,707,455,995,
28,7498,3349,7786,
28,7498,3349,7786,
28,7498,3349,7786,
7,707,455,995,
29,7503,3350,7791,
29,7503,3350,7791,
29,7503,3350,7791,
28,7498,3349,7786,
7,707,455,995,
28,7498,3349,7786,
29,7503,3350,7791,
28,7498,3349,7786,
28,7498,3349,7786,
28,7498,3349,7786,
28,7498,3349,7786,
28,7498,3349,7786,
28,7498,3349,7786,
28,7498,3349,7786,
28,7498,3349,7786,
29,7503,3350,7791,
28,7498,3349,7786,
29,7503,3350,7791,
29,7503,3350,7791,
33,7503,3350,7791,
27,6424,2950,6712,
6,692,450,980,
33,7503,3350,7791,
33,7503,3350,7791,
5,7498,3349,7786,
5,7498,3349,7786,
8,7503,3350,7791,
8,7503,3350,7791,
9,7503,3350,7791,
8,7498,3349,7786,
8,7498,3349,7786,
8,7498,3349,7786,
26,7498,3349,7786,
26,7498,3349,7786,
26,7498,3349,7786,
26,7498,3349,7786,
26,7498,3349,7786,
26,7498,3349,7786,
27,7503,3350,7791,
26,7498,3349,7786,
26,7498,3349,7786,
26,7498,3349,7786,
26,7498,3349,7786,
27,7503,3350,7791,
27,7503,3350,7791,
27,7503,3350,7791,
26,7498,3349,7786,
26,7498,3349,7786,
26,7498,3349,7786,
26,7498,3349,7786,
26,7498,3349,7786,
25,5546,2753,5834,
32,7498,3349,7786,
32,7498,3349,7786,
32,7498,3349,7786,
32,7498,3349,7786,
33,7503,3350,7791,
32,7498,3349,7786,
33,7503,3350,7791,
33,7503,3350,7791,
15,6625,3000,6913,
10,7503,3350,7791,
10,7503,3350,7791,
10,7503,3350,7791,
10,7503,3350,7791,
10,7503,3350,7791,
10,7503,3350,7791,
9,7498,3349,7786,
7,7503,3350,7791,
7,7503,3350,7791,
12,4564,2572,4852,
12,4564,2572,4852,
16,7498,3349,7786,
17,7503,3350,7791,
17,7503,3350,7791,
17,7503,3350,7791,
16,7498,3349,7786,
10,1721,1144,2009,
10,1721,1144,2009,
37,7498,3349,7786,
15,7503,3350,7791,
12,7847,3610,8135,
12,7847,3610,8135,
12,7846,3610,8134,
14,7847,3610,8135,
14,7847,3610,8135,
14,7847,3610,8135,
14,7847,3610,8135,
12,7846,3610,8134,
12,7846,3610,8134,
12,7846,3610,8134,
13,7847,3610,8135,
13,7847,3610,8135,
13,7847,3610,8135,
13,7847,3610,8135,
13,7847,3610,8135,
13,7846,3610,8134,
12,7847,3610,8135,
2,1018,692,1306,
2,1018,692,1306,
2,1018,692,1306,
2,1018,692,1306,
2,1018,692,1306,
2,1018,692,1306,
2,1018,692,1306,
2,1018,692,1306,
26,7846,3610,8134,
10,7846,3610,8134,
10,7847,3610,8135,
4,2027,1300,2315,
26,7846,3610,8134,
21,7290,3249,7578,
31,7194,3167,7482,
42,7846,3610,8134,
42,7846,3610,8134,
31,7194,3167,7482,
42,7846,3610,8134,
42,7846,3610,8134,
42,7846,3610,8134,
42,7846,3610,8134,
42,7846,3610,8134,
5,1043,706,1331,
5,1043,706,1331,
28,7847,3610,8135,
28,7847,3610,8135,
28,7847,3610,8135,
28,7846,3610,8134,
28,7846,3610,8134,
28,7846,3610,8134,
17,6662,3007,6950,
28,7847,3610,8135,
28,7846,3610,8134,
28,7846,3610,8134,
28,7846,3610,8134,
1,3003,1994,3291,
18,7847,3610,8135,
10,6302,2905,6590,
18,7846,3610,8134,
2,6477,2965,6765,
2,3703,2313,3991,
3,3272,2166,3560,
4,3369,2201,3657,
3,3272,2166,3560,
11,7846,3610,8134,
0,564,404,852,
0,7847,3610,8135,
6,7846,3610,8134,
13,7846,3610,8134,
9,7846,3610,8134,
7,7847,3610,8135,
17,7847,3610,8135,
17,7847,3610,8135,
20,7847,3610,8135,
20,7846,3610,8134,
20,7847,3610,8135,
3,565,404,853,
7,7847,3610,8135,
6,7847,3610,8135,
15,7847,3610,8135,
15,7847,3610,8135,
7,7847,3610,8135,
15,7847,3610,8135,
15,7847,3610,8135,
5,7847,3610,8135,
16,7846,3610,8134,
16,7847,3610,8135,
8,7847,3610,8135,
8,7847,3610,8135,
10,7846,3610,8134,
6,7847,3610,8135,
8,7847,3610,8135,
6,7846,3610,8134,
7,7846,3610,8134,
32,7847,3610,8135,
32,7846,3610,8134,
32,7846,3610,8134,
7,7847,3610,8135,
2,6791,3036,7079,
16,7847,3610,8135,
16,7847,3610,8135,
16,7846,3610,8134,
16,7846,3610,8134,
8,7847,3610,8135,
3,468,367,756,
3,468,367,756,
3,468,367,756,
3,468,367,756,
8,7846,3610,8134,
20,7847,3610,8135,
20,7846,3610,8134,
20,7846,3610,8134,
15,7847,3610,8135,
15,7847,3610,8135,
15,7847,3610,8135,
15,7847,3610,8135,
9,7846,3610,8134,
20,7847,3610,8135,
20,7847,3610,8135,
9,7846,3610,8134,
9,7846,3610,8134,
16,7847,3610,8135,
16,7847,3610,8135,
16,7847,3610,8135,
16,7847,3610,8135,
4,450,352,738,
10,7846,3610,8134,
5,2787,1819,3075,
12,7847,3610,8135,
38,7847,3610,8135,
9,2787,1819,3075,
9,2787,1819,3075,
9,7104,3124,7392,
10,7847,3610,8135,
8,7104,3124,7392,
3,4141,2422,4429,
3,4141,2422,4429,
12,7104,3124,7392,
38,7846,3610,8134,
0,450,352,738,
2,893,570,1181,
25,7846,3610,8134,
25,7846,3610,8134,
6,5813,2821,6101,
11,7576,3393,7864,
0,4958,2625,5246,
16,7846,3610,8134,
16,7846,3610,8134,
8,7846,3610,8134,
7,7846,3610,8134,
7,7846,3610,8134,
7,7846,3610,8134,
7,7846,3610,8134,
7,7846,3610,8134,
7,7846,3610,8134,
17,7847,3610,8135,
7,7847,3610,8135,
6,7847,3610,8135,
22,7847,3610,8135,
22,7847,3610,8135,
22,7847,3610,8135,
22,7847,3610,8135,
22,7847,3610,8135,
22,7847,3610,8135,
5,6863,3050,7151,
2,5110,2653,5398,
2,2516,1603,2804,
2,2516,1603,2804,
3,3037,2016,3325,
11,5081,2649,5369,
5,3037,2016,3325,
13,5081,2649,5369,
3,3037,2016,3325,
11,5081,2649,5369,
3,3037,2016,3325,
8,4871,2609,5159,
31,7846,3610,8134,
5,893,570,1181,
67,7846,3610,8134,
35,7847,3610,8135,
3,2269,1428,2557,
3,2269,1428,2557,
3,2269,1428,2557,
3,2269,1428,2557,
3,2269,1428,2557,
3,2269,1428,2557,
3,2269,1428,2557,
3,2269,1428,2557,
3,2269,1428,2557,
1,2269,1428,2557,
1,2269,1428,2557,
1,2269,1428,2557,
1,2269,1428,2557,
1,2269,1428,2557,
1,2269,1428,2557,
1,2269,1428,2557,
11,7846,3610,8134,
11,7846,3610,8134,
17,7847,3610,8135,
17,7847,3610,8135,
17,7847,3610,8135,
0,358,250,646,
0,358,250,646,
23,7846,3610,8134,
23,7847,3610,8135,
8,3011,2001,3299,
38,7846,3610,8134,
38,7847,3610,8135,
38,7847,3610,8135,
38,7847,3610,8135,
38,7847,3610,8135,
38,7847,3610,8135,
38,7847,3610,8135,
10,7847,3610,8135,
28,7847,3610,8135,
28,7846,3610,8134,
28,7847,3610,8135,
28,7847,3610,8135,
36,3331,2184,3619,
36,3331,2184,3619,
36,3331,2184,3619,
36,3331,2184,3619,
36,3331,2184,3619,
36,3331,2184,3619,
7,1470,969,1758,
36,3331,2184,3619,
65,7846,3610,8134,
36,3331,2184,3619,
36,3331,2184,3619,
6,1422,934,1710,
36,3331,2184,3619,
36,3331,2184,3619,
36,3331,2184,3619,
36,3331,2184,3619,
16,2979,1980,3267,
19,7846,3610,8134,
19,7847,3610,8135,
19,7846,3610,8134,
32,7847,3610,8135,
32,7846,3610,8134,
20,7847,3610,8135,
20,7847,3610,8135,
20,7847,3610,8135,
20,7847,3610,8135,
20,7847,3610,8135,
20,7846,3610,8134,
14,7847,3610,8135,
14,7846,3610,8134,
14,7847,3610,8135,
14,7847,3610,8135,
14,7847,3610,8135,
18,7847,3610,8135,
18,7847,3610,8135,
18,7847,3610,8135,
18,7847,3610,8135,
18,7847,3610,8135,
18,7846,3610,8134,
13,7847,3610,8135,
13,7847,3610,8135,
0,239,130,527,
13,7847,3610,8135,
13,7847,3610,8135,
19,7846,3610,8134,
19,7847,3610,8135,
19,7846,3610,8134,
23,7846,3610,8134,
23,7847,3610,8135,
12,7847,3610,8135,
12,7847,3610,8135,
23,6161,2883,6449,
46,7846,3610,8134,
46,7846,3610,8134,
16,7846,3610,8134,
16,7847,3610,8135,
25,7366,3308,7654,
5,7846,3610,8134,
5,7847,3610,8135,
5,7847,3610,8135,
5,7847,3610,8135,
5,7847,3610,8135,
8,7846,3610,8134,
23,7847,3610,8135,
23,7847,3610,8135,
23,7847,3610,8135,
9,7847,3610,8135,
25,7846,3610,8134,
48,7847,3610,8135,
48,7847,3610,8135,
48,7847,3610,8135,
25,4945,2624,5233,
48,7846,3610,8134,
14,3956,2362,4244,
14,3956,2362,4244,
13,3924,2350,4212,
13,3924,2350,4212,
2,1018,692,1306,
11,1018,692,1306,
9,7846,3610,8134,
9,7846,3610,8134,
11,5360,2693,5648,
11,7846,3610,8134,
39,7846,3610,8134,
39,7846,3610,8134,
30,6448,2957,6736,
15,2556,1627,2844,
48,7846,3610,8134,
30,6448,2957,6736,
163,7846,3610,8134,
163,7846,3610,8134,
11,1018,692,1306,
11,1018,692,1306,
11,1018,692,1306,
11,1018,692,1306,
11,1018,692,1306,
11,1018,692,1306,
11,1018,692,1306,
11,1018,692,1306,
11,1018,692,1306,
7,628,431,916,
124,6831,3043,7119,
11,1018,692,1306,
163,7847,3610,8135,
11,1018,692,1306,
11,1018,692,1306,
11,1018,692,1306,
11,1018,692,1306,
11,1018,692,1306,
138,7156,3153,7444,
11,1018,692,1306,
11,1018,692,1306,
11,1018,692,1306,
11,1018,692,1306,
13,1051,711,1339,
11,1018,692,1306,
51,2424,1530,2712,
96,5918,2852,6206,
11,1018,692,1306,
11,1018,692,1306,
141,7232,3194,7520,
163,7846,3610,8134,
141,7232,3194,7520,
163,7846,3610,8134,
11,1018,692,1306,
100,6112,2882,6400,
11,1018,692,1306,
96,5918,2852,6206,
163,7846,3610,8134,
163,7846,3610,8134,
9,7846,3610,8134,
2,1018,692,1306,
2,1018,692,1306,
2,1018,692,1306,
2,1018,692,1306,
2,1018,692,1306,
2,1018,692,1306,
2,1018,692,1306,
2,1018,692,1306,
2,1018,692,1306,
29,7846,3610,8134,
2,1018,692,1306,
2,1018,692,1306,
2,1018,692,1306,
2,1018,692,1306,
8,1018,692,1306,
8,1018,692,1306,
8,1018,692,1306,
53,7846,3610,8134,
8,1018,692,1306,
8,1018,692,1306,
8,1018,692,1306,
8,1018,692,1306,
5,3513,2273,3801,
2,1018,692,1306,
2,1018,692,1306,
9,6112,2882,6400,
12,7846,3610,8134,
6,1538,1007,1826,
18,7846,3610,8134,
18,7846,3610,8134,
11,6448,2957,6736,
1,1018,692,1306,
1,1018,692,1306,
2,5298,2683,5586,
1,4096,2414,4384,
1,4096,2414,4384,
13,1018,692,1306,
13,1018,692,1306,
13,1018,692,1306,
13,1018,692,1306,
44,3394,2215,3682,
13,1018,692,1306,
13,1018,692,1306,
13,1018,692,1306,
13,1018,692,1306,
10,572,406,860,
13,1018,692,1306,
13,1018,692,1306,
13,1018,692,1306,
13,1018,692,1306,
52,3631,2306,3919,
13,1018,692,1306,
13,1018,692,1306,
13,1018,692,1306,
13,1018,692,1306,
13,1018,692,1306,
13,1018,692,1306,
13,1018,692,1306,
13,1018,692,1306,
89,6302,2905,6590,
14,1032,699,1320,
13,1018,692,1306,
13,1018,692,1306,
13,1018,692,1306,
13,1018,692,1306,
91,6831,3043,7119,
102,7409,3316,7697,
13,1018,692,1306,
13,1018,692,1306,
104,7478,3337,7766,
13,1018,692,1306,
13,1018,692,1306,
104,7478,3337,7766,
59,4162,2432,4450,
104,7478,3337,7766,
13,1018,692,1306,
18,1060,718,1348,
3,2330,1468,2618,
5,1018,692,1306,
2,852,535,1140,
0,1018,692,1306,
0,1018,692,1306,
6,7846,3610,8134,
0,1018,692,1306,
10,7846,3610,8134,
10,7846,3610,8134,
6,1378,886,1666,
6,1378,886,1666,
